Rep 0, Training with 20 data, Training at Epoch 57, train acc 0.7, train cost 1.3242, test acc 0.57, test cost 1.3193, avg epoch time 84.2693, total time 4803.349
Rep 0, Training with 20 data, Training at Epoch 58, train acc 0.65, train cost 1.3253, test acc 0.51, test cost 1.3206, avg epoch time 84.1455, total time 4880.4373
Rep 0, Training with 20 data, Training at Epoch 59, train acc 0.6, train cost 1.3313, test acc 0.49, test cost 1.3287, avg epoch time 84.0182, total time 4957.0724
Rep 0, Training with 20 data, Training at Epoch 60, train acc 0.65, train cost 1.3223, test acc 0.56, test cost 1.3065, avg epoch time 83.9009, total time 5034.0549
Rep 0, Training with 20 data, Training at Epoch 61, train acc 0.55, train cost 1.3166, test acc 0.59, test cost 1.3049, avg epoch time 83.7768, total time 5110.3828
Rep 0, Training with 20 data, Training at Epoch 62, train acc 0.55, train cost 1.3331, test acc 0.56, test cost 1.3238, avg epoch time 83.6723, total time 5187.6842
Rep 0, Training with 20 data, Training at Epoch 63, train acc 0.5, train cost 1.3353, test acc 0.58, test cost 1.3222, avg epoch time 83.5487, total time 5263.5665
Rep 0, Training with 20 data, Training at Epoch 64, train acc 0.45, train cost 1.3349, test acc 0.6, test cost 1.3241, avg epoch time 83.4312, total time 5339.5974
Rep 0, Training with 20 data, Training at Epoch 65, train acc 0.5, train cost 1.3247, test acc 0.59, test cost 1.3182, avg epoch time 83.3313, total time 5416.5317
Rep 0, Training with 20 data, Training at Epoch 66, train acc 0.5, train cost 1.3223, test acc 0.52, test cost 1.3253, avg epoch time 83.2325, total time 5493.3445
Rep 0, Training with 20 data, Training at Epoch 67, train acc 0.55, train cost 1.3232, test acc 0.5, test cost 1.3247, avg epoch time 83.1332, total time 5569.9241
Rep 0, Training with 20 data, Training at Epoch 68, train acc 0.7, train cost 1.318, test acc 0.57, test cost 1.323, avg epoch time 83.0276, total time 5645.8751
Rep 0, Training with 20 data, Training at Epoch 69, train acc 0.65, train cost 1.3186, test acc 0.64, test cost 1.3168, avg epoch time 82.9311, total time 5722.2467
Rep 0, Training with 20 data, Training at Epoch 70, train acc 0.7, train cost 1.3219, test acc 0.63, test cost 1.3192, avg epoch time 82.8525, total time 5799.6762
Rep 0, Training with 20 data, Training at Epoch 71, train acc 0.55, train cost 1.3237, test acc 0.59, test cost 1.3139, avg epoch time 82.7643, total time 5876.2661
Rep 0, Training with 20 data, Training at Epoch 72, train acc 0.4, train cost 1.3117, test acc 0.6, test cost 1.3158, avg epoch time 82.6701, total time 5952.2458
Rep 0, Training with 20 data, Training at Epoch 73, train acc 0.55, train cost 1.325, test acc 0.44, test cost 1.3219, avg epoch time 82.5872, total time 6028.8621
Rep 0, Training with 20 data, Training at Epoch 74, train acc 0.55, train cost 1.3225, test acc 0.43, test cost 1.3234, avg epoch time 82.507, total time 6105.5144
Rep 0, Training with 20 data, Training at Epoch 75, train acc 0.55, train cost 1.3199, test acc 0.43, test cost 1.323, avg epoch time 82.4326, total time 6182.4454
Rep 0, Training with 20 data, Training at Epoch 76, train acc 0.55, train cost 1.3216, test acc 0.39, test cost 1.3247, avg epoch time 82.364, total time 6259.6643
Rep 0, Training with 20 data, Training at Epoch 77, train acc 0.5, train cost 1.3057, test acc 0.46, test cost 1.3338, avg epoch time 82.2797, total time 6335.5403
Rep 0, Training with 20 data, Training at Epoch 78, train acc 0.6, train cost 1.3135, test acc 0.53, test cost 1.3163, avg epoch time 82.2111, total time 6412.4626
Rep 0, Training with 20 data, Training at Epoch 79, train acc 0.6, train cost 1.3119, test acc 0.55, test cost 1.3167, avg epoch time 82.1362, total time 6488.7586
Rep 0, Training with 20 data, Training at Epoch 80, train acc 0.5, train cost 1.3131, test acc 0.59, test cost 1.3161, avg epoch time 82.0754, total time 6566.0328
Rep 0, Training with 20 data, Training at Epoch 81, train acc 0.7, train cost 1.3107, test acc 0.65, test cost 1.3193, avg epoch time 82.001, total time 6642.0779
Rep 0, Training with 20 data, Training at Epoch 82, train acc 0.75, train cost 1.3056, test acc 0.63, test cost 1.3166, avg epoch time 81.9421, total time 6719.2501
Rep 0, Training with 20 data, Training at Epoch 83, train acc 0.65, train cost 1.3099, test acc 0.57, test cost 1.3157, avg epoch time 81.8774, total time 6795.8249
Rep 0, Training with 20 data, Training at Epoch 84, train acc 0.7, train cost 1.3041, test acc 0.56, test cost 1.3143, avg epoch time 81.8166, total time 6872.5967
Rep 0, Training with 20 data, Training at Epoch 85, train acc 0.7, train cost 1.3083, test acc 0.58, test cost 1.306, avg epoch time 81.7593, total time 6949.5416
Rep 0, Training with 20 data, Training at Epoch 86, train acc 0.6, train cost 1.3146, test acc 0.56, test cost 1.3134, avg epoch time 81.6968, total time 7025.9263
Rep 0, Training with 20 data, Training at Epoch 87, train acc 0.7, train cost 1.3086, test acc 0.54, test cost 1.3067, avg epoch time 81.6409, total time 7102.7606
Rep 0, Training with 20 data, Training at Epoch 88, train acc 0.7, train cost 1.3063, test acc 0.58, test cost 1.3038, avg epoch time 81.5803, total time 7179.065
Rep 0, Training with 20 data, Training at Epoch 89, train acc 0.7, train cost 1.3075, test acc 0.57, test cost 1.3084, avg epoch time 81.5322, total time 7256.3683
Rep 0, Training with 20 data, Training at Epoch 90, train acc 0.75, train cost 1.3058, test acc 0.53, test cost 1.3092, avg epoch time 81.4852, total time 7333.6639
Rep 0, Training with 20 data, Training at Epoch 91, train acc 0.7, train cost 1.3052, test acc 0.59, test cost 1.3099, avg epoch time 81.4308, total time 7410.2032
Rep 0, Training with 20 data, Training at Epoch 92, train acc 0.7, train cost 1.3044, test acc 0.71, test cost 1.2878, avg epoch time 81.3712, total time 7486.1486
Rep 0, Training with 20 data, Training at Epoch 93, train acc 0.6, train cost 1.2835, test acc 0.71, test cost 1.2893, avg epoch time 81.3232, total time 7563.0591
Rep 0, Training with 20 data, Training at Epoch 94, train acc 0.75, train cost 1.2889, test acc 0.73, test cost 1.2832, avg epoch time 81.273, total time 7639.6592
Rep 0, Training with 20 data, Training at Epoch 95, train acc 0.75, train cost 1.2857, test acc 0.74, test cost 1.2794, avg epoch time 81.2204, total time 7715.9401
Rep 0, Training with 20 data, Training at Epoch 96, train acc 0.75, train cost 1.3034, test acc 0.71, test cost 1.2853, avg epoch time 81.1727, total time 7792.5751
Rep 0, Training with 20 data, Training at Epoch 97, train acc 0.65, train cost 1.2877, test acc 0.7, test cost 1.2931, avg epoch time 81.1272, total time 7869.3381
Rep 0, Training with 20 data, Training at Epoch 98, train acc 0.75, train cost 1.2868, test acc 0.61, test cost 1.2916, avg epoch time 81.0822, total time 7946.0565
Rep 0, Training with 20 data, Training at Epoch 99, train acc 0.65, train cost 1.2944, test acc 0.68, test cost 1.2921, avg epoch time 81.0285, total time 8021.8202
Rep 0, Training with 20 data, Training at Epoch 100, train acc 0.7, train cost 1.285, test acc 0.56, test cost 1.3177, avg epoch time 80.9824, total time 8098.235
Training with 20 data, testing with 100 data, for 100 epochs...
Rep 1, Training with 20 data, Training at Epoch 1, train acc 0.3, train cost 1.3896, test acc 0.3, test cost 1.4014, avg epoch time 513.6636, total time 513.6636
Rep 1, Training with 20 data, Training at Epoch 2, train acc 0.4, train cost 1.3971, test acc 0.29, test cost 1.404, avg epoch time 295.3466, total time 590.6932
Rep 1, Training with 20 data, Training at Epoch 3, train acc 0.4, train cost 1.3605, test acc 0.38, test cost 1.3805, avg epoch time 222.5842, total time 667.7527
Rep 1, Training with 20 data, Training at Epoch 4, train acc 0.35, train cost 1.3662, test acc 0.36, test cost 1.3799, avg epoch time 186.1201, total time 744.4806
Rep 1, Training with 20 data, Training at Epoch 5, train acc 0.4, train cost 1.3652, test acc 0.27, test cost 1.3877, avg epoch time 164.2002, total time 821.0008
Rep 1, Training with 20 data, Training at Epoch 6, train acc 0.4, train cost 1.3563, test acc 0.34, test cost 1.3765, avg epoch time 149.7212, total time 898.3272
Rep 1, Training with 20 data, Training at Epoch 7, train acc 0.4, train cost 1.3573, test acc 0.45, test cost 1.3521, avg epoch time 139.3193, total time 975.2352
Rep 1, Training with 20 data, Training at Epoch 8, train acc 0.4, train cost 1.362, test acc 0.45, test cost 1.3532, avg epoch time 131.3567, total time 1050.8537
Rep 1, Training with 20 data, Training at Epoch 9, train acc 0.45, train cost 1.3673, test acc 0.38, test cost 1.3574, avg epoch time 125.3345, total time 1128.0106
Rep 1, Training with 20 data, Training at Epoch 10, train acc 0.35, train cost 1.3608, test acc 0.35, test cost 1.3531, avg epoch time 120.4522, total time 1204.522
Rep 1, Training with 20 data, Training at Epoch 11, train acc 0.35, train cost 1.3619, test acc 0.41, test cost 1.3562, avg epoch time 116.5796, total time 1282.3757
Rep 1, Training with 20 data, Training at Epoch 12, train acc 0.35, train cost 1.3529, test acc 0.46, test cost 1.3507, avg epoch time 113.1863, total time 1358.2353
Rep 1, Training with 20 data, Training at Epoch 13, train acc 0.3, train cost 1.3495, test acc 0.41, test cost 1.3594, avg epoch time 110.4289, total time 1435.5757
Rep 1, Training with 20 data, Training at Epoch 14, train acc 0.5, train cost 1.3457, test acc 0.45, test cost 1.3599, avg epoch time 108.0157, total time 1512.2193
Rep 1, Training with 20 data, Training at Epoch 15, train acc 0.65, train cost 1.3387, test acc 0.51, test cost 1.3595, avg epoch time 105.8939, total time 1588.4087
Rep 1, Training with 20 data, Training at Epoch 16, train acc 0.45, train cost 1.3427, test acc 0.49, test cost 1.3597, avg epoch time 104.0535, total time 1664.8558
Rep 1, Training with 20 data, Training at Epoch 17, train acc 0.45, train cost 1.3467, test acc 0.5, test cost 1.359, avg epoch time 102.4478, total time 1741.6122
Rep 1, Training with 20 data, Training at Epoch 18, train acc 0.45, train cost 1.3342, test acc 0.44, test cost 1.3635, avg epoch time 101.0024, total time 1818.0424
Rep 1, Training with 20 data, Training at Epoch 19, train acc 0.65, train cost 1.3381, test acc 0.43, test cost 1.3682, avg epoch time 99.7662, total time 1895.557
Rep 1, Training with 20 data, Training at Epoch 20, train acc 0.45, train cost 1.3419, test acc 0.48, test cost 1.3648, avg epoch time 98.6354, total time 1972.7076
Rep 1, Training with 20 data, Training at Epoch 21, train acc 0.6, train cost 1.333, test acc 0.48, test cost 1.3609, avg epoch time 97.5749, total time 2049.0735
Rep 1, Training with 20 data, Training at Epoch 22, train acc 0.45, train cost 1.3296, test acc 0.42, test cost 1.3596, avg epoch time 96.6157, total time 2125.5462
Rep 1, Training with 20 data, Training at Epoch 23, train acc 0.6, train cost 1.3387, test acc 0.45, test cost 1.366, avg epoch time 95.7544, total time 2202.3509
Rep 1, Training with 20 data, Training at Epoch 24, train acc 0.5, train cost 1.348, test acc 0.36, test cost 1.3713, avg epoch time 94.9968, total time 2279.9225
Rep 1, Training with 20 data, Training at Epoch 25, train acc 0.55, train cost 1.3473, test acc 0.36, test cost 1.3723, avg epoch time 94.2582, total time 2356.4555
Rep 1, Training with 20 data, Training at Epoch 26, train acc 0.5, train cost 1.3505, test acc 0.29, test cost 1.3756, avg epoch time 93.6018, total time 2433.6471
Rep 1, Training with 20 data, Training at Epoch 27, train acc 0.55, train cost 1.3366, test acc 0.37, test cost 1.3656, avg epoch time 92.9497, total time 2509.6426
Rep 1, Training with 20 data, Training at Epoch 28, train acc 0.75, train cost 1.3194, test acc 0.39, test cost 1.3596, avg epoch time 92.3578, total time 2586.0197
Rep 1, Training with 20 data, Training at Epoch 29, train acc 0.65, train cost 1.3269, test acc 0.37, test cost 1.362, avg epoch time 91.8291, total time 2663.0448
Rep 1, Training with 20 data, Training at Epoch 30, train acc 0.6, train cost 1.3259, test acc 0.35, test cost 1.355, avg epoch time 91.3044, total time 2739.1308
Rep 1, Training with 20 data, Training at Epoch 31, train acc 0.45, train cost 1.3154, test acc 0.33, test cost 1.358, avg epoch time 90.8255, total time 2815.5918
Rep 1, Training with 20 data, Training at Epoch 32, train acc 0.55, train cost 1.3204, test acc 0.34, test cost 1.3581, avg epoch time 90.4091, total time 2893.0925
Rep 1, Training with 20 data, Training at Epoch 33, train acc 0.5, train cost 1.316, test acc 0.35, test cost 1.3608, avg epoch time 90.0253, total time 2970.8337
Rep 1, Training with 20 data, Training at Epoch 34, train acc 0.55, train cost 1.3124, test acc 0.33, test cost 1.3566, avg epoch time 89.6273, total time 3047.3285
Rep 1, Training with 20 data, Training at Epoch 35, train acc 0.5, train cost 1.3126, test acc 0.34, test cost 1.3533, avg epoch time 89.2499, total time 3123.7463
Rep 1, Training with 20 data, Training at Epoch 36, train acc 0.55, train cost 1.3137, test acc 0.32, test cost 1.3579, avg epoch time 88.8893, total time 3200.016
Rep 1, Training with 20 data, Training at Epoch 37, train acc 0.65, train cost 1.322, test acc 0.35, test cost 1.3542, avg epoch time 88.5464, total time 3276.2169
Rep 1, Training with 20 data, Training at Epoch 38, train acc 0.65, train cost 1.3245, test acc 0.33, test cost 1.3558, avg epoch time 88.2379, total time 3353.0395
Rep 1, Training with 20 data, Training at Epoch 39, train acc 0.6, train cost 1.325, test acc 0.33, test cost 1.3557, avg epoch time 87.9532, total time 3430.1729
Rep 1, Training with 20 data, Training at Epoch 40, train acc 0.5, train cost 1.3153, test acc 0.33, test cost 1.3596, avg epoch time 87.6684, total time 3506.7355
Rep 1, Training with 20 data, Training at Epoch 41, train acc 0.6, train cost 1.3127, test acc 0.36, test cost 1.353, avg epoch time 87.383, total time 3582.7018
Rep 1, Training with 20 data, Training at Epoch 42, train acc 0.7, train cost 1.3081, test acc 0.36, test cost 1.3575, avg epoch time 87.1275, total time 3659.3539
Rep 1, Training with 20 data, Training at Epoch 43, train acc 0.55, train cost 1.314, test acc 0.34, test cost 1.3535, avg epoch time 86.8765, total time 3735.6881
Rep 1, Training with 20 data, Training at Epoch 44, train acc 0.6, train cost 1.3189, test acc 0.34, test cost 1.3512, avg epoch time 86.6387, total time 3812.1013
