

libgomp: Invalid value for environment variable OMP_NUM_THREADS

libgomp: Invalid value for environment variable OMP_NUM_THREADS
256
Training with 200 data, testing with 100 data, for 80 epochs...
Rep 0, Training with 200 data, Training at Epoch 67, train acc 0.67, train cost 1.3104, test acc 0.65, test cost 1.3244, avg epoch time 1013.0704, total time 67875.717
Rep 0, Training with 200 data, Training at Epoch 68, train acc 0.69, train cost 1.3107, test acc 0.62, test cost 1.3244, avg epoch time 1011.8789, total time 68807.7659
Rep 0, Training with 200 data, Training at Epoch 69, train acc 0.695, train cost 1.3112, test acc 0.65, test cost 1.3224, avg epoch time 1011.4746, total time 69791.7447
Rep 0, Training with 200 data, Training at Epoch 70, train acc 0.73, train cost 1.3081, test acc 0.64, test cost 1.3232, avg epoch time 1010.1408, total time 70709.8547
Rep 0, Training with 200 data, Training at Epoch 71, train acc 0.735, train cost 1.3058, test acc 0.68, test cost 1.3214, avg epoch time 1008.5954, total time 71610.2718
Rep 0, Training with 200 data, Training at Epoch 72, train acc 0.705, train cost 1.3078, test acc 0.64, test cost 1.3206, avg epoch time 1007.4806, total time 72538.6025
Rep 0, Training with 200 data, Training at Epoch 73, train acc 0.715, train cost 1.3093, test acc 0.63, test cost 1.3221, avg epoch time 1008.3876, total time 73612.2941
Rep 0, Training with 200 data, Training at Epoch 74, train acc 0.74, train cost 1.3083, test acc 0.7, test cost 1.3147, avg epoch time 1008.3633, total time 74618.8832
Rep 0, Training with 200 data, Training at Epoch 75, train acc 0.71, train cost 1.3068, test acc 0.66, test cost 1.3204, avg epoch time 1008.6288, total time 75647.1577
Rep 0, Training with 200 data, Training at Epoch 76, train acc 0.71, train cost 1.3052, test acc 0.65, test cost 1.3203, avg epoch time 1009.0677, total time 76689.1424
Rep 0, Training with 200 data, Training at Epoch 77, train acc 0.68, train cost 1.3036, test acc 0.7, test cost 1.3196, avg epoch time 1008.2135, total time 77632.4367
Rep 0, Training with 200 data, Training at Epoch 78, train acc 0.71, train cost 1.3053, test acc 0.64, test cost 1.3188, avg epoch time 1008.6213, total time 78672.4614
Rep 0, Training with 200 data, Training at Epoch 79, train acc 0.7, train cost 1.3028, test acc 0.64, test cost 1.3218, avg epoch time 1007.8793, total time 79622.4626
Rep 0, Training with 200 data, Training at Epoch 80, train acc 0.615, train cost 1.3019, test acc 0.54, test cost 1.3224, avg epoch time 1010.1868, total time 80814.9401
